intan,xcoord,ycoord,sh
0,975,350,3
1,1000,325,3
2,975,325,3
3,1000,300,3
4,975,300,3
5,1000,275,3
6,975,275,3
7,1000,250,3
8,975,250,3
9,1000,225,3
10,975,225,3
11,1000,200,3
12,975,200,3
13,975,25,3
14,650,200,2
15,650,25,2
16,675,325,2
17,1000,150,3
18,1000,375,3
19,975,375,3
20,1000,350,3
21,675,150,2
22,675,125,2
23,675,375,2
24,675,300,2
25,675,50,2
26,650,125,2
27,675,25,2
28,650,275,2
29,650,250,2
30,650,50,2
31,650,100,2
32,650,75,2
33,675,225,2
34,675,250,2
35,675,275,2
36,675,0,2
37,675,175,2
38,650,300,2
39,650,325,2
40,650,375,2
41,650,150,2
42,650,175,2
43,675,350,2
44,975,175,3
45,650,350,2
46,675,100,2
47,675,75,2
48,650,0,2
49,675,200,2
50,975,0,3
51,650,225,2
52,975,50,3
53,975,75,3
54,975,100,3
55,975,125,3
56,1000,0,3
57,1000,25,3
58,1000,50,3
59,1000,75,3
60,1000,100,3
61,1000,125,3
62,975,150,3
63,1000,175,3
64,25,250,0
65,0,275,0
66,25,275,0
67,0,300,0
68,25,300,0
69,0,325,0
70,25,325,0
71,0,350,0
72,25,350,0
73,0,375,0
74,25,375,0
75,0,225,0
76,325,50,1
77,25,200,0
78,325,0,1
79,350,200,1
80,350,275,1
81,325,300,1
82,350,0,1
83,0,250,0
84,350,25,1
85,325,350,1
86,350,300,1
87,350,50,1
88,350,100,1
89,325,150,1
90,350,350,1
91,325,275,1
92,350,150,1
93,350,175,1
94,325,75,1
95,350,225,1
96,325,250,1
97,325,225,1
98,325,100,1
99,325,175,1
100,350,375,1
101,350,250,1
102,325,375,1
103,350,125,1
104,350,75,1
105,325,325,1
106,350,325,1
107,0,50,0
108,0,0,0
109,0,25,0
110,25,225,0
111,325,125,1
112,325,200,1
113,325,25,1
114,0,200,0
115,25,175,0
116,0,175,0
117,25,150,0
118,0,150,0
119,25,125,0
120,25,100,0
121,25,75,0
122,25,50,0
123,25,25,0
124,25,0,0
125,0,125,0
126,0,100,0
127,0,75,0